,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
0,M&amp;M,EQ,2017-05-15,1367.85,1373.0,1386.65,1370.0,1374.8,1375.65,1378.31,558190,769357918.15,38442,386664,69.27,5,2017,1375.65,0.0,Slight or No change
1,M&amp;M,EQ,2017-05-16,1375.65,1377.0,1380.5,1363.1,1364.15,1366.35,1371.22,516012,707563396.95,29075,334469,64.82,5,2017,1371.1825799058277,-0.006760440519027466,Slight or No change
2,M&amp;M,EQ,2017-05-17,1366.35,1363.0,1384.35,1360.4,1379.0,1378.8,1378.56,920884,1269496569.5,32299,689649,74.89,5,2017,1374.6985989075156,0.009111867383906125,Slight or No change
3,M&amp;M,EQ,2017-05-18,1378.8,1369.0,1372.0,1347.5,1347.5,1352.85,1361.7,1217846,1658344015.4,20476,1043736,85.7,5,2017,1366.4169954421693,-0.018820713664055688,Slight or No change
4,M&amp;M,EQ,2017-05-19,1352.85,1350.0,1357.6,1328.5,1338.2,1333.4,1344.8,976742,1313521664.4,36297,773590,79.2,5,2017,1358.7197172858796,-0.014377055845067654,Slight or No change
5,M&amp;M,EQ,2017-05-22,1333.4,1340.15,1341.95,1301.1,1307.0,1306.25,1313.89,436797,573901073.9,26521,261661,59.9,5,2017,1353.7659166241397,-0.020361481925903813,Slight or No change
6,M&amp;M,EQ,2017-05-23,1306.25,1315.0,1338.35,1300.0,1328.35,1331.75,1324.9,780182,1033663448.9,40561,445992,57.17,5,2017,1350.5890118248758,0.019521531100478384,Slight or No change
7,M&amp;M,EQ,2017-05-24,1331.75,1331.5,1338.8,1301.45,1308.0,1308.65,1314.05,625683,822180435.0,29997,382266,61.1,5,2017,1346.239034181783,-0.01734559789750323,Slight or No change
8,M&amp;M,EQ,2017-05-25,1308.65,1311.0,1335.9,1304.0,1335.9,1327.5,1321.97,1456698,1925707945.3,60911,1095811,75.23,5,2017,1342.594089638263,0.014404156955641234,Slight or No change
9,M&amp;M,EQ,2017-05-26,1327.5,1334.0,1348.9,1327.5,1341.0,1340.85,1339.17,335223,448919973.95,16125,156414,46.66,5,2017,1342.5193657429709,0.010056497175141121,Slight or No change
10,M&amp;M,EQ,2017-05-29,1340.85,1345.0,1375.75,1327.4,1362.9,1360.05,1353.03,1058764,1432543453.9,37535,603995,57.05,5,2017,1344.6088355808233,0.014319275086698724,Slight or No change
11,M&amp;M,EQ,2017-05-30,1360.05,1364.0,1379.0,1342.3,1367.65,1361.1,1362.54,2223885,3030140652.25,68059,815525,36.67,5,2017,1347.9107860235786,0.0007720304400573585,Slight or No change
12,M&amp;M,EQ,2017-05-31,1361.1,1392.5,1448.5,1392.0,1413.7,1416.95,1424.14,3941786,5613656174.25,146225,1848666,46.9,5,2017,1365.9946040127609,0.041032988024392036,Slight or No change
13,M&amp;M,EQ,2017-06-01,1416.95,1430.0,1441.0,1416.1,1426.65,1425.25,1429.3,1712339,2447442775.9,55540,1120694,65.45,6,2017,1372.048248654871,0.0058576519990118925,Slight or No change
